qid,uid,label
1310:1,20927:1,
537:1,13445:1,
1742:1,10702:1,
788:1,9922:1,
1752:1,10345:1,
2991:1,27982:1,
292:1,19306:1,
1473:1,11171:1,
1344:1,20527:1,
2021:1,8417:1,
5190:1,13637:1,
2790:1,15925:1,
5461:1,10339:1,
4752:1,18408:1,
227:1,14689:1,
2581:1,23381:1,
1800:1,26970:1,
2099:1,33697:1,
405:1,9459:1,
5415:1,15434:1,
775:1,8236:1,
5522:1,15695:1,
3639:1,20000:1,
72:1,24616:1,
4408:1,8179:1,
1093:1,10029:1,
1857:1,19565:1,
1202:1,8931:1,
469:1,16430:1,
2144:1,9664:1,
1860:1,14501:1,
364:1,11928:1,
388:1,8891:1,
637:1,28643:1,
5376:1,18361:1,
640:1,18312:1,
258:1,16501:1,
562:1,8765:1,
6508:1,14999:1,
985:1,9689:1,
6219:1,12089:1,
121:1,24304:1,
791:1,24028:1,
935:1,8449:1,
65:1,28030:1,
4564:1,13626:1,
1180:1,9863:1,
407:1,19895:1,
1875:1,25307:1,
243:1,22866:1,
1367:1,11862:1,
1352:1,9423:1,
1550:1,8975:1,
6094:1,8746:1,
4759:1,13142:1,
3888:1,25476:1,
625:1,11164:1,
1250:1,20819:1,
91:1,16474:1,
543:1,9951:1,
2214:1,8568:1,
2832:1,12380:1,
3363:1,9071:1,
98:1,14407:1,
3698:1,9164:1,
692:1,16821:1,
2022:1,15370:1,
1990:1,18244:1,
1712:1,15028:1,
2195:1,21183:1,
3938:1,13170:1,
14:1,13291:1,
142:1,20860:1,
5715:1,35027:1,
4642:1,8631:1,
706:1,24050:1,
2821:1,12414:1,
4690:1,20882:1,
985:1,8819:1,
5377:1,11767:1,
564:1,11719:1,
139:1,18303:1,
6228:1,31714:1,
6:1,7844:1,
621:1,8927:1,
735:1,24582:1,
176:1,11272:1,
5545:1,10946:1,
769:1,25802:1,
2400:1,19027:1,
287:1,15405:1,
3055:1,13514:1,
3403:1,12818:1,
4706:1,19583:1,
227:1,10533:1,
267:1,8567:1,
820:1,11136:1,
1723:1,9022:1,
10:1,18200:1,
2574:1,10529:1,
625:1,8023:1,
46:1,18479:1,
425:1,8869:1,
3630:1,8761:1,
3125:1,33895:1,
322:1,8198:1,
4316:1,29995:1,
1345:1,13090:1,
70:1,9018:1,
738:1,16593:1,
225:1,13447:1,
1819:1,18371:1,
1085:1,12344:1,
983:1,20737:1,
297:1,19086:1,
6360:1,12280:1,
520:1,12090:1,
2576:1,10426:1,
3263:1,13097:1,
448:1,27288:1,
3851:1,13359:1,
792:1,16615:1,
19:1,26705:1,
2255:1,19234:1,
2214:1,12969:1,
1048:1,24918:1,
84:1,9411:1,
559:1,12072:1,
656:1,13828:1,
831:1,12718:1,
1942:1,15510:1,
294:1,14344:1,
3423:1,11398:1,
322:1,11797:1,
1720:1,10547:1,
2818:1,13358:1,
523:1,10504:1,
805:1,31229:1,
296:1,15043:1,
2547:1,8229:1,
691:1,14929:1,
3714:1,24616:1,
925:1,16293:1,
819:1,9640:1,
453:1,11279:1,
1639:1,15324:1,
6902:1,12719:1,
2852:1,7973:1,
81:1,9267:1,
166:1,14344:1,
3233:1,32119:1,
3878:1,31450:1,
1984:1,9648:1,
3808:1,11506:1,
176:1,11112:1,
3505:1,7818:1,
2213:1,22220:1,
2738:1,16321:1,
5068:1,19088:1,
5983:1,22698:1,
666:1,9129:1,
4069:1,18259:1,
6213:1,9908:1,
98:1,10537:1,
3714:1,19192:1,
675:1,9879:1,
517:1,11272:1,
82:1,16639:1,
553:1,14032:1,
1184:1,26740:1,
1694:1,9036:1,
3753:1,10377:1,
23:1,9611:1,
4363:1,14988:1,
5364:1,20776:1,
2554:1,10729:1,
2144:1,15200:1,
719:1,18211:1,
739:1,24637:1,
1749:1,10011:1,
742:1,10641:1,
537:1,11032:1,
1461:1,9971:1,
3346:1,14944:1,
1435:1,16304:1,
5039:1,23812:1,
1756:1,17257:1,
2070:1,14217:1,
2373:1,12446:1,
5340:1,22435:1,
789:1,9151:1,
5538:1,19080:1,
2717:1,27286:1,
1923:1,14830:1,
1060:1,16587:1,
166:1,10098:1,
1204:1,17113:1,
19:1,29799:1,
3405:1,35028:1,
4788:1,22632:1,
5407:1,17543:1,
1908:1,13282:1,
1386:1,12793:1,
763:1,13259:1,
2362:1,18504:1,
1567:1,10431:1,
416:1,8884:1,
13:1,21439:1,
1361:1,8611:1,
3053:1,35029:1,
708:1,8808:1,
66:1,12988:1,
4202:1,23473:1,
400:1,14716:1,
553:1,18622:1,
4719:1,28967:1,
1563:1,9722:1,
1264:1,9655:1,
251:1,9759:1,
2041:1,19032:1,
1686:1,8667:1,
1460:1,10600:1,
426:1,11429:1,
742:1,10390:1,
3478:1,8001:1,
4510:1,31323:1,
2519:1,18413:1,
2472:1,8364:1,
389:1,34236:1,
130:1,12027:1,
4258:1,10140:1,
5697:1,16185:1,
560:1,12538:1,
2585:1,27982:1,
5373:1,10154:1,
2773:1,10514:1,
989:1,9256:1,
1892:1,9333:1,
62:1,10735:1,
1271:1,10438:1,
294:1,13446:1,
2953:1,20647:1,
1154:1,21597:1,
606:1,9145:1,
1092:1,16426:1,
1313:1,10772:1,
4770:1,12001:1,
1912:1,12175:1,
4245:1,24446:1,
3972:1,13161:1,
4816:1,14726:1,
783:1,10208:1,
4453:1,11328:1,
2747:1,11862:1,
2400:1,16785:1,
294:1,28591:1,
1565:1,14114:1,
1693:1,18738:1,
1284:1,13514:1,
467:1,8669:1,
1595:1,14656:1,
2957:1,8220:1,
8:1,26025:1,
202:1,29108:1,
792:1,27936:1,
130:1,9569:1,
1005:1,14930:1,
5156:1,30181:1,
610:1,7799:1,
546:1,12217:1,
160:1,12962:1,
474:1,16479:1,
708:1,15259:1,
1710:1,9436:1,
410:1,11599:1,
2559:1,9748:1,
4334:1,22485:1,
342:1,11873:1,
1766:1,12102:1,
1459:1,13064:1,
1897:1,12697:1,
410:1,10169:1,
50:1,21089:1,
1446:1,10756:1,
101:1,10329:1,
5510:1,20639:1,
2161:1,29770:1,
1280:1,16141:1,
4244:1,12775:1,
5737:1,11574:1,
3178:1,14250:1,
287:1,13535:1,
1897:1,9362:1,
108:1,10392:1,
2315:1,10349:1,
28:1,8495:1,
5683:1,15901:1,
3153:1,23582:1,
5650:1,23604:1,
2463:1,15969:1,
341:1,9779:1,
2678:1,18284:1,
2796:1,22986:1,
64:1,20151:1,
3178:1,13972:1,
1085:1,26244:1,
546:1,9364:1,
149:1,10488:1,
3391:1,35030:1,
1311:1,10403:1,
10:1,14232:1,
899:1,20420:1,
2456:1,9938:1,
348:1,9130:1,
6035:1,14666:1,
251:1,11394:1,
779:1,11341:1,
996:1,11685:1,
407:1,9514:1,
591:1,31165:1,
3581:1,14583:1,
2568:1,35031:1,
4293:1,11009:1,
1331:1,17098:1,
1033:1,16503:1,
1337:1,16529:1,
497:1,16265:1,
1009:1,17142:1,
2292:1,11166:1,
1045:1,21684:1,
6:1,10048:1,
1317:1,8688:1,
1685:1,8736:1,
2461:1,8299:1,
469:1,7910:1,
164:1,9225:1,
5145:1,13394:1,
2095:1,14827:1,
1914:1,13654:1,
969:1,16234:1,
6025:1,24852:1,
2581:1,8014:1,
914:1,14760:1,
137:1,14976:1,
51:1,9752:1,
968:1,10181:1,
1570:1,26974:1,
130:1,25565:1,
1215:1,11594:1,
1019:1,7853:1,
4073:1,35032:1,
1580:1,15439:1,
1583:1,8328:1,
1194:1,16925:1,
819:1,15608:1,
234:1,16152:1,
1391:1,10536:1,
7384:1,10121:1,
5028:1,13492:1,
3114:1,24162:1,
661:1,28601:1,
741:1,24186:1,
1143:1,15385:1,
6863:1,13194:1,
292:1,17521:1,
1963:1,17403:1,
4940:1,18879:1,
62:1,8105:1,
1126:1,20976:1,
288:1,12232:1,
15:1,35033:1,
1580:1,9075:1,
887:1,15794:1,
1614:1,15316:1,
1005:1,14321:1,
1518:1,8161:1,
3212:1,15352:1,
854:1,11592:1,
1561:1,8878:1,
50:1,22744:1,
7621:1,12010:1,
3738:1,35034:1,
2461:1,8579:1,
4165:1,17381:1,
995:1,14905:1,
504:1,8064:1,
1026:1,15929:1,
638:1,11145:1,
3284:1,13789:1,
1136:1,25013:1,
6425:1,9819:1,
2043:1,9790:1,
3753:1,16391:1,
141:1,8659:1,
689:1,16710:1,
1005:1,32740:1,
215:1,18880:1,
3793:1,12063:1,
238:1,32714:1,
38:1,31776:1,
4170:1,9742:1,
2532:1,11594:1,
6901:1,13635:1,
726:1,17718:1,
6900:1,12796:1,
1353:1,29488:1,
3370:1,12724:1,
2287:1,19560:1,
947:1,15034:1,
46:1,20511:1,
251:1,11318:1,
1168:1,9243:1,
7244:1,12001:1,
104:1,17555:1,
736:1,15324:1,
1967:1,11166:1,
1851:1,23418:1,
1796:1,31196:1,
433:1,18165:1,
579:1,12455:1,
1751:1,24457:1,
2815:1,11384:1,
6090:1,11545:1,
2624:1,21027:1,
1849:1,15293:1,
5369:1,12145:1,
1119:1,12552:1,
4696:1,23876:1,
2820:1,18213:1,
6072:1,16955:1,
2282:1,16612:1,
82:1,23195:1,
796:1,19013:1,
556:1,15172:1,
694:1,10890:1,
828:1,14015:1,
2960:1,11439:1,
2098:1,10585:1,
2642:1,23952:1,
294:1,10982:1,
50:1,28546:1,
5589:1,27133:1,
3614:1,11171:1,
1994:1,9870:1,
1569:1,11766:1,
45:1,8702:1,
440:1,9875:1,
803:1,8405:1,
1101:1,21650:1,
2165:1,9164:1,
6951:1,8034:1,
103:1,7886:1,
2100:1,14453:1,
1892:1,13683:1,
2784:1,35035:1,
2126:1,12351:1,
258:1,10697:1,
796:1,21907:1,
182:1,13940:1,
3328:1,23697:1,
1767:1,11480:1,
4493:1,17812:1,
1353:1,19238:1,
3:1,10945:1,
2287:1,20868:1,
1418:1,12374:1,
394:1,15360:1,
1699:1,30555:1,
2054:1,20880:1,
3938:1,22118:1,
880:1,9750:1,
899:1,9018:1,
506:1,32432:1,
251:1,8098:1,
1754:1,14712:1,
3064:1,17799:1,
491:1,13319:1,
5630:1,11195:1,
2509:1,14725:1,
6972:1,8856:1,
453:1,9777:1,
1133:1,9880:1,
727:1,16064:1,
5581:1,12594:1,
794:1,9880:1,
364:1,9688:1,
6910:1,11006:1,
1397:1,11022:1,
603:1,15957:1,
1005:1,16100:1,
1370:1,9665:1,
2493:1,35036:1,
439:1,13596:1,
296:1,15417:1,
2231:1,19987:1,
2926:1,19530:1,
762:1,17142:1,
1214:1,11165:1,
3022:1,16409:1,
869:1,15210:1,
692:1,9320:1,
7132:1,12398:1,
294:1,16824:1,
3581:1,23603:1,
1608:1,12550:1,
5007:1,35037:1,
128:1,18047:1,
4435:1,12002:1,
364:1,11839:1,
2806:1,13282:1,
4980:1,22758:1,
1767:1,9084:1,
3715:1,9629:1,
1527:1,16232:1,
365:1,23041:1,
5340:1,12738:1,
460:1,16620:1,
410:1,22442:1,
1580:1,10018:1,
2803:1,8987:1,
5586:1,14122:1,
1535:1,23326:1,
117:1,17445:1,
1048:1,16259:1,
2716:1,21637:1,
161:1,14478:1,
166:1,12305:1,
1004:1,10133:1,
1167:1,12030:1,
251:1,9776:1,
412:1,21972:1,
96:1,13952:1,
500:1,20470:1,
1004:1,19079:1,
1222:1,26819:1,
3395:1,9168:1,
820:1,11766:1,
86:1,12776:1,
311:1,10746:1,
3313:1,17290:1,
2480:1,22461:1,
3310:1,28248:1,
792:1,7938:1,
2571:1,35038:1,
290:1,9366:1,
410:1,11876:1,
2061:1,34670:1,
3819:1,15239:1,
3464:1,29043:1,
3100:1,11782:1,
1580:1,10403:1,
744:1,28514:1,
97:1,24868:1,
432:1,15525:1,
897:1,28160:1,
1005:1,16921:1,
1923:1,29251:1,
3503:1,12235:1,
137:1,16323:1,
1141:1,11052:1,
251:1,11941:1,
2863:1,12351:1,
3262:1,14240:1,
3:1,14612:1,
1387:1,28734:1,
714:1,27733:1,
234:1,15119:1,
1945:1,25515:1,
2447:1,20910:1,
3400:1,22191:1,
25:1,14221:1,
4701:1,10884:1,
6102:1,9196:1,
2055:1,13276:1,
165:1,8890:1,
974:1,7980:1,
4117:1,17773:1,
3183:1,16366:1,
440:1,16286:1,
603:1,12395:1,
1923:1,29729:1,
3296:1,8607:1,
2554:1,19432:1,
82:1,29616:1,
315:1,8697:1,
1156:1,7878:1,
485:1,17894:1,
792:1,20176:1,
2562:1,17049:1,
3886:1,12992:1,
1084:1,12932:1,
593:1,14038:1,
5246:1,35039:1,
5047:1,20370:1,
292:1,16837:1,
590:1,31562:1,
4435:1,15352:1,
556:1,8505:1,
215:1,21885:1,
3:1,8103:1,
438:1,9437:1,
836:1,12281:1,
15:1,10816:1,
486:1,20279:1,
4792:1,23869:1,
564:1,8732:1,
337:1,9294:1,
311:1,19757:1,
130:1,10038:1,
2806:1,9195:1,
3323:1,11329:1,
2769:1,8092:1,
2468:1,27649:1,
1038:1,13936:1,
2523:1,11609:1,
2101:1,15054:1,
315:1,8038:1,
1923:1,29114:1,
1309:1,11126:1,
3286:1,11157:1,
952:1,24005:1,
6880:1,10010:1,
5012:1,35040:1,
676:1,20958:1,
4019:1,16057:1,
983:1,12226:1,
427:1,9526:1,
19:1,17897:1,
970:1,11690:1,
50:1,30475:1,
1236:1,7830:1,
48:1,14344:1,
1708:1,12874:1,
3008:1,14611:1,
600:1,12767:1,
451:1,16759:1,
91:1,11179:1,
1242:1,9564:1,
4574:1,12192:1,
130:1,8808:1,
1002:1,19372:1,
348:1,10990:1,
882:1,13063:1,
3777:1,22218:1,
2703:1,10028:1,
294:1,14090:1,
603:1,8961:1,
4498:1,35041:1,
44:1,14658:1,
6332:1,13647:1,
1132:1,10993:1,
6045:1,11255:1,
2090:1,8968:1,
215:1,16842:1,
2400:1,23332:1,
439:1,12777:1,
190:1,10325:1,
3440:1,11605:1,
5656:1,10422:1,
361:1,12462:1,
1164:1,9014:1,
40:1,22502:1,
1156:1,7924:1,
840:1,14244:1,
294:1,12928:1,
2214:1,15124:1,
250:1,9738:1,
3730:1,28273:1,
1607:1,13926:1,
933:1,9777:1,
1132:1,10870:1,
407:1,26432:1,
532:1,13635:1,
1350:1,16241:1,
59:1,9560:1,
294:1,10756:1,
742:1,11221:1,
2562:1,9969:1,
720:1,24301:1,
309:1,35042:1,
4787:1,17256:1,
3589:1,22451:1,
335:1,16047:1,
41:1,10846:1,
64:1,14876:1,
4375:1,8462:1,
6452:1,8373:1,
1432:1,18952:1,
5429:1,19779:1,
1582:1,9923:1,
322:1,18125:1,
1374:1,8459:1,
2095:1,15893:1,
517:1,9717:1,
11:1,12589:1,
3447:1,10204:1,
790:1,15108:1,
315:1,9153:1,
7147:1,24533:1,
2349:1,13498:1,
523:1,16909:1,
756:1,11112:1,
213:1,22149:1,
2200:1,16226:1,
1567:1,8118:1,
2282:1,7980:1,
3011:1,19392:1,
1748:1,17241:1,
745:1,9498:1,
4250:1,13208:1,
674:1,23475:1,
7398:1,14166:1,
2597:1,8487:1,
1860:1,28274:1,
44:1,10240:1,
2154:1,10041:1,
2932:1,10324:1,
1558:1,23395:1,
3915:1,20050:1,
3236:1,14445:1,
2234:1,10249:1,
44:1,17672:1,
3273:1,21015:1,
5934:1,15926:1,
247:1,9630:1,
1556:1,24562:1,
1762:1,12431:1,
1056:1,13388:1,
386:1,21704:1,
6021:1,13627:1,
124:1,14185:1,
366:1,20512:1,
465:1,19027:1,
1216:1,13741:1,
5046:1,9386:1,
556:1,35043:1,
294:1,8570:1,
1584:1,8668:1,
3083:1,15929:1,
1074:1,29118:1,
342:1,20873:1,
598:1,8167:1,
1009:1,19839:1,
569:1,15556:1,
699:1,18599:1,
1083:1,8973:1,
1849:1,17678:1,
405:1,9134:1,
508:1,8123:1,
1446:1,8951:1,
7722:1,10436:1,
86:1,29380:1,
103:1,12647:1,
1055:1,16770:1,
342:1,22456:1,
1598:1,17872:1,
46:1,21810:1,
2880:1,10501:1,
620:1,15314:1,
832:1,11096:1,
2166:1,20046:1,
2624:1,12789:1,
62:1,35044:1,
965:1,9008:1,
4787:1,19573:1,
29:1,11378:1,
2189:1,9070:1,
2154:1,8629:1,
1197:1,14275:1,
861:1,15092:1,
4202:1,22026:1,
2065:1,9195:1,
2282:1,10883:1,
138:1,35045:1,
708:1,17800:1,
1116:1,24461:1,
4160:1,14584:1,
132:1,22464:1,
237:1,15900:1,
888:1,19201:1,
513:1,33764:1,
3316:1,20605:1,
4473:1,15596:1,
2604:1,20542:1,
3213:1,20605:1,
5241:1,8931:1,
2334:1,10422:1,
2329:1,22854:1,
1143:1,12578:1,
3:1,11571:1,
1268:1,14584:1,
885:1,14562:1,
247:1,8303:1,
1391:1,9334:1,
62:1,14000:1,
5199:1,10397:1,
790:1,8457:1,
137:1,19701:1,
1910:1,16637:1,
254:1,13957:1,
2732:1,21892:1,
3011:1,30051:1,
5393:1,35046:1,
1198:1,14615:1,
3577:1,11775:1,
513:1,13269:1,
977:1,29312:1,
6406:1,35047:1,
3386:1,17109:1,
803:1,23353:1,
103:1,18435:1,
969:1,15134:1,
5659:1,30706:1,
2007:1,12470:1,
2622:1,12572:1,
1500:1,16996:1,
2825:1,12300:1,
4162:1,9661:1,
1142:1,11195:1,
622:1,12862:1,
2698:1,8010:1,
930:1,15693:1,
3754:1,20736:1,
2786:1,13288:1,
2259:1,8850:1,
699:1,20382:1,
410:1,16575:1,
1752:1,10431:1,
376:1,11941:1,
225:1,13326:1,
726:1,12588:1,
5311:1,13304:1,
1476:1,14795:1,
540:1,15421:1,
330:1,16602:1,
5257:1,35048:1,
2751:1,18448:1,
5937:1,10377:1,
4759:1,31970:1,
513:1,13597:1,
1856:1,35049:1,
7723:1,35050:1,
2584:1,14992:1,
130:1,8094:1,
3171:1,11257:1,
2607:1,15450:1,
3245:1,24064:1,
1680:1,35051:1,
11:1,9129:1,
409:1,18778:1,
757:1,13490:1,
4470:1,13338:1,
176:1,8416:1,
5323:1,12621:1,
793:1,12242:1,
1097:1,20791:1,
2193:1,27238:1,
4840:1,11460:1,
6478:1,17135:1,
5679:1,25939:1,
394:1,13782:1,
559:1,12724:1,
2537:1,22809:1,
4754:1,11932:1,
3515:1,14932:1,
212:1,24102:1,
1753:1,22064:1,
82:1,19953:1,
2294:1,20891:1,
2031:1,19168:1,
796:1,17718:1,
2318:1,10028:1,
2471:1,12359:1,
2155:1,9371:1,
467:1,11282:1,
7273:1,10639:1,
2155:1,9182:1,
2236:1,7854:1,
5388:1,9639:1,
87:1,10104:1,
14:1,18624:1,
1670:1,8396:1,
190:1,14323:1,
3278:1,9256:1,
341:1,8415:1,
348:1,9713:1,
803:1,13046:1,
3369:1,12416:1,
558:1,22892:1,
5689:1,13527:1,
3374:1,12506:1,
2100:1,20250:1,
1455:1,15923:1,
2043:1,19996:1,
1323:1,25099:1,
3183:1,15451:1,
676:1,14058:1,
2912:1,11816:1,
2383:1,9018:1,
3141:1,21280:1,
2456:1,11432:1,
2411:1,9820:1,
2547:1,10044:1,
1233:1,11385:1,
791:1,13061:1,
502:1,12605:1,
2759:1,12206:1,
6336:1,11113:1,
1236:1,11950:1,
4431:1,14248:1,
7038:1,9217:1,
1834:1,35052:1,
6796:1,24879:1,
1187:1,19770:1,
2400:1,20999:1,
357:1,17204:1,
528:1,35053:1,
521:1,14528:1,
1410:1,21126:1,
4291:1,9352:1,
80:1,9726:1,
48:1,18510:1,
40:1,11407:1,
1436:1,8098:1,
120:1,11948:1,
13:1,7797:1,
796:1,22885:1,
2585:1,11375:1,
215:1,27271:1,
1527:1,8302:1,
305:1,8964:1,
873:1,11770:1,
2357:1,9361:1,
295:1,14553:1,
615:1,11783:1,
1756:1,17134:1,
2080:1,17796:1,
4687:1,17603:1,
56:1,18575:1,
1983:1,16613:1,
381:1,14351:1,
5148:1,9146:1,
3720:1,17917:1,
102:1,9540:1,
1163:1,23232:1,
15:1,8789:1,
2421:1,10751:1,
2961:1,33190:1,
1126:1,17944:1,
146:1,11573:1,
1963:1,15280:1,
5835:1,8948:1,
556:1,16323:1,
474:1,14321:1,
5556:1,23543:1,
1897:1,10510:1,
794:1,13661:1,
1550:1,18461:1,
985:1,15795:1,
1578:1,14802:1,
1978:1,25754:1,
1206:1,11608:1,
1776:1,21226:1,
7238:1,13168:1,
451:1,9790:1,
5344:1,7917:1,
1541:1,19627:1,
6096:1,11905:1,
215:1,20557:1,
1483:1,22637:1,
32:1,19098:1,
1881:1,13281:1,
9:1,9923:1,
7005:1,12645:1,
1292:1,7911:1,
4983:1,11387:1,
961:1,7857:1,
434:1,14559:1,
1566:1,24323:1,
559:1,12775:1,
3108:1,12438:1,
5462:1,9151:1,
1282:1,11194:1,
1365:1,13189:1,
1682:1,14012:1,
130:1,9239:1,
120:1,20043:1,
2006:1,7975:1,
643:1,9153:1,
4037:1,8052:1,
251:1,25669:1,
2305:1,20258:1,
415:1,8802:1,
2995:1,28789:1,
130:1,17756:1,
1732:1,14901:1,
2008:1,9816:1,
2929:1,10297:1,
2834:1,17422:1,
3492:1,10880:1,
3227:1,8735:1,
248:1,9998:1,
91:1,27894:1,
3735:1,35054:1,
1555:1,17465:1,
1857:1,8934:1,
6283:1,13290:1,
295:1,13316:1,
3610:1,18578:1,
294:1,11943:1,
253:1,12416:1,
411:1,10294:1,
716:1,10314:1,
15:1,8885:1,
6748:1,10215:1,
1418:1,14515:1,
3227:1,20953:1,
92:1,12445:1,
1585:1,19603:1,
624:1,16537:1,
3342:1,21437:1,
3621:1,10639:1,
6278:1,9870:1,
1860:1,9202:1,
101:1,8608:1,
3462:1,8763:1,
590:1,11412:1,
196:1,17334:1,
229:1,17561:1,
1825:1,18153:1,
1982:1,7966:1,
5350:1,14978:1,
342:1,11959:1,
5819:1,14489:1,
251:1,12295:1,
8:1,12291:1,
5104:1,9649:1,
118:1,10287:1,
1691:1,34195:1,
348:1,18776:1,
2614:1,10315:1,
3402:1,18569:1,
866:1,29480:1,
3501:1,25669:1,
2745:1,9032:1,
1244:1,23892:1,
6741:1,13177:1,
4694:1,27773:1,
611:1,8984:1,
1896:1,11782:1,
160:1,8621:1,
294:1,21217:1,
1729:1,10645:1,
4653:1,11508:1,
2347:1,20363:1,
3896:1,11861:1,
3340:1,19110:1,
1637:1,8105:1,
2885:1,16057:1,
3245:1,19150:1,
790:1,11318:1,
4004:1,15055:1,
3191:1,26482:1,
439:1,16893:1,
122:1,14929:1,
1553:1,19414:1,
7167:1,23159:1,
1316:1,16564:1,
3:1,8594:1,
862:1,14883:1,
5200:1,30857:1,
3181:1,15782:1,
733:1,8604:1,
127:1,30790:1,
2460:1,10978:1,
417:1,15795:1,
656:1,32422:1,
1679:1,11601:1,
495:1,11729:1,
5008:1,35055:1,
166:1,11941:1,
5668:1,20283:1,
1630:1,9463:1,
846:1,10827:1,
292:1,18036:1,
903:1,12519:1,
5666:1,18380:1,
7724:1,16786:1,
1850:1,16369:1,
1002:1,11881:1,
2957:1,14074:1,
3877:1,11384:1,
1141:1,12914:1,
1609:1,11729:1,
898:1,13681:1,
1930:1,12332:1,
6195:1,16949:1,
4339:1,19568:1,
1168:1,8370:1,
3081:1,9185:1,
1455:1,15034:1,
496:1,10309:1,
6076:1,11793:1,
1303:1,19840:1,
2429:1,8763:1,
294:1,9190:1,
388:1,35056:1,
6083:1,8374:1,
4000:1,12598:1,
127:1,7872:1,
5304:1,10978:1,
2639:1,35057:1,
4351:1,7930:1,
7505:1,9449:1,
1036:1,12778:1,
3:1,10052:1,
397:1,13025:1,
1197:1,12020:1,
759:1,16970:1,
6375:1,15132:1,
1355:1,16664:1,
662:1,9600:1,
3191:1,13774:1,
834:1,14121:1,
3864:1,10787:1,
1899:1,10862:1,
5199:1,12710:1,
1234:1,12446:1,
392:1,7882:1,
1002:1,10946:1,
234:1,7847:1,
3990:1,16027:1,
5936:1,19146:1,
537:1,12041:1,
147:1,10572:1,
82:1,25558:1,
5341:1,23409:1,
516:1,16396:1,
3797:1,15234:1,
4118:1,33704:1,
689:1,12474:1,
4317:1,29190:1,
389:1,35058:1,
254:1,25108:1,
804:1,18883:1,
674:1,29168:1,
153:1,10086:1,
775:1,13031:1,
142:1,16191:1,
2459:1,9862:1,
6332:1,11516:1,
4759:1,29915:1,
88:1,14981:1,
870:1,13569:1,
1037:1,26123:1,
295:1,18382:1,
1386:1,10016:1,
2742:1,12579:1,
900:1,32200:1,
292:1,21835:1,
82:1,15628:1,
3440:1,11323:1,
114:1,9452:1,
2084:1,14562:1,
6046:1,21950:1,
3727:1,10333:1,
561:1,23660:1,
630:1,19148:1,
946:1,21550:1,
1549:1,35059:1,
790:1,10345:1,
985:1,14964:1,
5397:1,11323:1,
3513:1,10392:1,
7018:1,19019:1,
2222:1,23639:1,
6557:1,13348:1,
1097:1,12493:1,
2533:1,15481:1,
148:1,19795:1,
640:1,15849:1,
4014:1,11919:1,
1664:1,8351:1,
335:1,12453:1,
128:1,25688:1,
444:1,23503:1,
7631:1,14974:1,
2404:1,11535:1,
2579:1,13359:1,
3546:1,10568:1,
127:1,9939:1,
1392:1,35060:1,
439:1,26967:1,
3:1,13245:1,
1023:1,10712:1,
62:1,12380:1,
2024:1,16326:1,
1693:1,35061:1,
337:1,11585:1,
4943:1,28334:1,
3790:1,8980:1,
1892:1,7972:1,
3428:1,13208:1,
2329:1,8332:1,
1495:1,13440:1,
409:1,17461:1,
322:1,9043:1,
1083:1,10107:1,
828:1,13123:1,
3732:1,19603:1,
887:1,12661:1,
500:1,9876:1,
4122:1,23366:1,
1937:1,10883:1,
2121:1,10502:1,
1602:1,8798:1,
4475:1,17728:1,
865:1,19635:1,
314:1,8961:1,
521:1,34544:1,
861:1,7811:1,
3002:1,9427:1,
523:1,9273:1,
796:1,9097:1,
176:1,14295:1,
1264:1,8416:1,
34:1,35062:1,
900:1,22908:1,
8:1,12892:1,
1484:1,14447:1,
83:1,19065:1,
4983:1,12153:1,
1197:1,18666:1,
794:1,16023:1,
903:1,31429:1,
4102:1,23157:1,
1104:1,10232:1,
5203:1,23283:1,
1134:1,26595:1,
5896:1,19111:1,
2095:1,19702:1,
3012:1,7957:1,
1935:1,25285:1,
3125:1,24312:1,
810:1,8373:1,
469:1,20317:1,
2383:1,8316:1,
15:1,16256:1,
242:1,12840:1,
2184:1,31945:1,
2165:1,12192:1,
295:1,9716:1,
954:1,22731:1,
4821:1,16690:1,
1664:1,10142:1,
4948:1,11246:1,
2785:1,8385:1,
326:1,19474:1,
330:1,16910:1,
945:1,23993:1,
556:1,8501:1,
4516:1,12683:1,
672:1,21133:1,
769:1,24485:1,
947:1,10031:1,
791:1,15533:1,
5259:1,22066:1,
2780:1,12236:1,
4441:1,7974:1,
843:1,13178:1,
1391:1,14344:1,
292:1,8046:1,
248:1,12739:1,
4143:1,9566:1,
1284:1,15923:1,
229:1,19118:1,
404:1,14089:1,
410:1,11383:1,
1140:1,12963:1,
4030:1,11241:1,
86:1,19517:1,
292:1,16887:1,
946:1,11671:1,
5020:1,30010:1,
3782:1,35063:1,
70:1,8973:1,
1306:1,20996:1,
2284:1,21237:1,
1197:1,24797:1,
3278:1,8004:1,
4449:1,13235:1,
955:1,9349:1,
1979:1,8564:1,
1220:1,23013:1,
234:1,18675:1,
2280:1,11037:1,
190:1,10586:1,
4549:1,21823:1,
816:1,8010:1,
6383:1,10603:1,
2376:1,26970:1,
82:1,13948:1,
2554:1,16023:1,
4278:1,22497:1,
103:1,18948:1,
185:1,17320:1,
702:1,13918:1,
640:1,13954:1,
2426:1,32943:1,
458:1,24154:1,
1647:1,17210:1,
1992:1,10972:1,
6626:1,14108:1,
745:1,16872:1,
792:1,27883:1,
2912:1,16123:1,
1045:1,15552:1,
601:1,10397:1,
4155:1,12139:1,
1771:1,19204:1,
1892:1,13704:1,
